,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
V1,0.322344156,0.313435769,0.041162865,0.316520481,0.318395704,0.308265087,0.039288552,0.304531402,0.177277214,0.187563135,0.020695758,0.199833256,0.222572715,0.225020543,0.019008145,0.275973342,0.215477181,0.117464808,0.051427574,0.218848351,0.16183563,0.143761723,0.043731022,0.215364627,0.096480974,0.089052693,0.02343611,0.160290143,0.193294692,0.180264442,0.024766496,0.345089002,0.237530922,0.106954355,0.085909975,0.246443077,0.131216503,0.1051726,0.066935422,0.261788821,0.140285833,0.106015786,0.063799918,0.150257855,0.099451465,0.118287561,0.019609616,0.157766074,0.127993452,0.118208053,0.150883816,0.188563156,0.144683228,0.207098052,0.198118926,0.3033197,0.089603683,0.089425066,0.11242129,0.192727511,0.127368368,0.132552059,0.097036158,0.299349829,0.196597581,0.112425083,0.15334217,0.249028901,0.094564603,0.163098731,0.089281046,0.153677071,0.08228725,0.064024194,0.074056427,0.111435286,0.099887952,0.104662829,0.048408578,0.130443569,0.061077123,0.025213116,0.110086253,0.06895195,0.050961382,0.062947273,0.120010767,0.099994457,0.041752159,0.027597835,0.084072674,0.070234261,0.069865175,0.052300815,0.106894179,0.139100794
V2,0.006276008,0.007430785,0.000513385,0.009317006,0.013982989,0.006306968,0.001145391,0.006251483,0.000869552,0.006091656,0.000672736,0.003365351,0.362765793,0.112949344,0.019568764,0.141330892,0.025269025,0.004727404,0.001014801,0.024335296,0.033766479,0.004266683,0.00212406,0.038477432,0.007808204,0.004453787,0.000626348,0.016492996,2.032255104,0.410447748,0.073496859,2.327901904,0.017963368,0.003477384,0.005436649,0.000947495,0.046573487,0.009780284,0.001013585,0.017184657,0.025854149,0.01609966,0.019311033,0.012038842,1.490685693,0.220448252,0.125443055,0.539877844,0.010308964,0.008550095,0.002645656,0.009337436,0.002495184,0.003115562,0.003003591,0.000647407,0.001332137,0.002248073,0.000798388,0.001897414,0.005649792,0.005243612,0.002215724,0.002587209,0.009523642,0.002956149,0.003439522,0.003951062,0.000765297,0.000611617,0.000470881,0.000156959,0.006378516,0.00395783,0.004644135,0.007345374,0.005193624,0.001866737,0.00033409,0.002313161,0.003709747,0.001015271,0.000853986,0.00251885,0.000665891,0.000610008,0.000592222,0.000807869,0.000627155,0.000613836,0.000509482,0.000783842,0.0039289,0.001639778,0.000425883,0.004880101
V3,0.899581804,0.830079502,0.139123984,0.546559143,0.516488997,0.360640426,0.11287907,0.329108811,0.614932375,0.449032511,0.162141565,0.358830271,0.71479524,0.813901728,0.18628815,0.866425334,0.26090357,0.24644517,0.035891787,0.276106423,0.146876029,0.206250144,0.103862175,0.210270116,0.095302454,0.16593314,0.033333315,0.070520965,0.00088149,0.139848672,0.066565806,0.031494549,1.007042988,0.644331953,2.320495102,0.778505302,0.943598161,0.919457204,1.328133771,1.111915474,0.763908165,0.66168475,1.532375726,0.793302781,0.64430014,1.102725804,1.075555841,0.94496739,0.702457792,0.673131423,0.683542822,0.934360172,0.235190423,0.338868521,0.365845388,0.289133632,0.223086947,0.245445035,0.27180072,0.251183307,0.963643969,0.340322455,0.256913071,0.620896899,1.607354737,0.409095546,0.987476746,1.537032969,0.383278876,0.213201132,0.420696733,0.435049905,0.501365198,0.314663162,0.386159995,0.72094574,0.682460622,0.422733389,0.431549767,0.787373016,0.295473358,0.167386457,0.145669484,0.311295711,0.126095653,0.136151397,0.126025107,0.192054046,0.064906142,0.066463147,0.064232368,0.107835294,0.254184427,0.187114667,0.205266899,0.568240025
V4,0.006210137,0.005844246,0.001870236,0.001790442,0.007202578,0.003490499,0.000906018,0.009380544,0.006919173,0.001661711,0.003465829,0.003936826,0.151155584,0.104513931,0.017921594,0.155237111,0.003813866,0.005651196,0.002710425,0.008899007,0.002306355,0.006441801,0.000747833,0.006153759,0.001365507,0.000673027,0.000861494,0.002653911,0.311745931,0.035031408,0.007908672,0.819772873,0.089039902,0.029302653,0.035969288,0.045732929,0.1762194,0.042480122,0.063887017,0.102899688,0.077319141,0.02436428,0.002510985,0.043814194,4.745061648,0.962915894,0.531639701,2.678423325,0.000228183,0.001114643,0.005911415,0.002441799,0.002514852,0.004262708,0.002794474,0.008531053,0.001961804,0.003578873,0.003054696,0.002438095,0.001360568,0.000966839,0.001150231,0.003966781,0.012587156,0.003049818,0.007862717,0.021533382,0.006783131,0.00491489,0.005881101,0.008253708,0.000720686,0.003485382,0.000712618,0.005463015,0.002895552,0.006301116,0.003418901,0.007736601,0.00036268,0.001883292,0.002019709,0.003014754,0.001016483,0.000241685,0.002077063,0.001780149,0.001056052,0.001065071,0.000338514,0.000882878,0.000809398,0.001640299,0.002632858,0.002597169
V5,0.114682654,0.051212469,0.040102717,0.088335723,0.130068022,0.072687563,0.037881507,0.105435331,0.068295193,0.031218422,0.015441704,0.035836794,0.007087067,0.008153705,0.010989863,0.038847497,0.335995526,0.16452326,0.163401738,0.33895059,0.18994397,0.151616155,0.134640516,0.256601537,0.137819549,0.127126748,0.05639368,0.201936969,0.278977053,0.250049615,0.088149593,0.534554294,0.150917896,0.039869689,0.087871558,0.148834309,0.063711498,0.009522192,0.050598088,0.054350216,0.031809986,0.007240859,0.013317681,0.050534567,0.004941659,0.002578955,0.061011742,0.051317178,0.079201553,0.006677303,0.069743598,0.143437064,0.105963463,0.079642209,0.107505429,0.173073205,0.064176752,0.031865145,0.059984836,0.073677116,0.223027946,0.067001474,0.078749987,0.199316296,0.260820791,0.148244541,0.181664552,0.245804633,0.156505114,0.19042125,0.167392136,0.232604687,0.132057549,0.12703519,0.120540046,0.137075775,0.222704843,0.214940282,0.11824225,0.234745251,0.163974178,0.060653615,0.140442471,0.168150731,0.099235509,0.081873095,0.145153221,0.168499395,0.08416006,0.057097031,0.083511984,0.125348266,0.217129167,0.125737695,0.210632033,0.36328296
V6,0.07386096,0.098543458,0.010848343,0.026297091,0.000897054,0.082970374,0.008624792,0.004722128,0.067350703,0.063232302,0.024522798,0.031467247,0.029879889,0.069028547,0.009057589,0.007143943,0.031307641,0.020268084,0.001331167,0.006921323,0.006282509,0.015253562,0.012164858,0.010153975,0.014989239,0.045137319,0.000527327,0.00908325,0.002875548,0.009423471,0.005088867,0.003331666,0.409436264,0.263180944,3.669431869,0.141611806,0.263064327,0.339938206,2.308410868,0.280658235,0.503802677,0.547332428,2.908246467,0.326343619,0.246705398,0.331623281,1.475579407,0.233946496,0.060197444,0.202164843,0.049643522,0.153811877,0.00123045,0.024085114,0.004359323,0.00256813,0.001476912,0.054193133,0.012184574,0.045416117,0.126427217,0.020398,0.002065653,0.110955614,0.101755185,0.069054179,0.048377215,0.186027059,0.06543097,0.057084285,0.029375208,0.034818907,0.16481196,0.111680546,0.053599115,0.151840589,0.099522438,0.124893377,0.045682562,0.249457164,0.005959153,0.00989873,0.002961891,0.007055963,0.006146039,0.039370096,0.026165934,0.002855997,0.000911665,0.003759775,0.005959899,0.012132625,0.014620169,0.012041405,0.052404729,0.08419207
V7,0.000387349,0.001554123,8.94E-05,0.010561683,0.030619499,0.061069584,0.013504807,0.170147128,0.000842659,0.004296018,0.000833478,0.020110185,0.002599646,0.003519198,0.00021114,0.033048284,0.006085433,0.00168626,0.000670352,0.008723476,0.000132391,4.68E-05,9.08E-05,0.000154532,0.001859135,0.002262808,7.06E-05,0.004103044,0.000183744,0.000348532,0.000141452,0.004080799,0.137075506,0.041110966,0.074882142,0.054657232,0.018052908,0.022609089,0.047824883,0.021973935,0.167527195,0.151467862,0.107857987,0.118198377,0.016190517,0.015402594,0.018922392,0.009836969,0.016380694,0.007738446,0.000803989,0.072617517,0.002023511,0.006531532,0.002590472,0.00453822,0.00541374,0.00559578,0.003780401,0.007559035,0.028054266,0.003070301,0.003393179,0.039339501,0.060037108,0.019657395,0.077091862,0.014773284,0.048734597,0.020450085,0.081883933,0.036309822,0.080404219,0.018998766,0.051424954,0.043207353,0.069780216,0.035953946,0.056592437,0.059592145,0.001053467,0.001702375,0.001726378,0.005534775,0.001392588,0.007175433,0.008856191,0.015219359,0.000494507,0.001197888,0.000900113,0.008032078,0.000492603,0.001155835,0.005716333,0.017795551
V8,0.542775537,0.274283657,0.050436381,0.288715899,0.557322934,0.193540636,0.081608478,0.387577967,0.762914383,0.195569526,0.07343525,0.513398443,0.795050255,0.473994919,0.118722044,1.407362144,0.014216645,0.055148645,0.013551602,0.015172309,0.001671646,0.006376697,0.026729411,0.009887144,0.001981686,0.014260855,0.003502057,0.002720119,0.000870109,0.015227827,0.017599073,0.014309839,0.155933882,0.100010865,0.393664048,0.143034956,0.213762299,0.139724552,0.240344385,0.202941914,0.104492314,0.09272157,0.280740351,0.129973788,0.281266589,0.31075974,0.215852454,0.331623101,0.078900004,0.048575613,0.065193012,0.252456828,0.01710824,0.054281105,0.027341522,0.053771429,0.025667285,0.041377198,0.034159368,0.045981414,0.289003728,0.056368502,0.041187226,0.158590246,0.101084392,0.025256825,0.049105756,0.074799723,0.002638168,0.003013704,0.014826275,0.042439425,0.00704806,0.017657947,0.014978004,0.00937948,0.026490304,0.041495962,0.04961772,0.034251548,0.031824868,0.017153489,0.004427986,0.019814675,0.001646016,0.003188569,0.002320877,0.03992022,0.002084925,0.001848632,0.00259711,0.019635528,0.003264465,0.013118002,0.021738194,0.080371547
V9,0.034207943,0.034111989,0.007623929,0.01780335,0.053928653,0.070249001,0.00980609,0.046981434,0.004690843,0.035126305,0.003999898,0.017527991,0.11517825,0.198312599,0.006328149,0.150063271,0.109390246,0.07636248,0.010242896,0.130037802,0.113182418,0.083268153,0.018670797,0.186461227,0.062419901,0.051033659,0.005393666,0.10625416,0.427025678,0.34628433,0.008250514,0.91752852,0.058225852,0.041628636,0.057249483,0.051211133,0.0826341,0.050621389,0.050194452,0.093137602,0.076445415,0.041869916,0.0366787,0.047841343,0.008282413,0.150052759,0.0021827,0.102626903,0.004244851,0.002656825,0.009582386,0.007209948,0.017492083,0.021154689,0.028505633,0.009235407,0.004082921,0.002587432,0.012069673,0.002043861,0.009307412,0.013112273,0.006741352,0.015552147,0.061268,0.028771637,0.037941711,0.05283254,0.043653842,0.037531764,0.038656761,0.04223955,0.029114073,0.012577331,0.010223143,0.015990651,0.045732307,0.029953644,0.025099014,0.034537339,0.016739216,0.011216191,0.034209691,0.020740729,0.020999538,0.023950031,0.044417077,0.050483252,0.012622,0.006205759,0.023543948,0.019895563,0.045705649,0.022789033,0.024830437,0.042956919
V10,0.000409506,0.00270512,0.000841078,0.003461108,0.005791772,0.01291929,0.008975073,0.032372442,0.000358851,0.007219941,0.000636566,0.009343406,0.004524246,0.004680922,0.001467679,0.024552333,0.003858319,0.004958197,0.000781846,0.007124877,0.000543897,0.000326726,0.000482546,0.000121614,0.001133866,0.00421148,0.000680318,0.005556892,0.003035216,0.000523617,0.00024443,0.008605741,0.006434654,0.011367594,0.00104921,0.009686219,0.002657387,0.007065786,0.004303879,0.0025589,0.007382975,0.058265714,0.084720732,0.021237569,0.002134719,0.01569191,0.001609485,0.018384773,0.028904413,0.013619961,0.002145629,0.083610661,0.004049379,0.007700042,0.005416381,0.005260667,0.004478229,0.011133709,0.010004805,0.008636954,0.050115763,0.005785991,0.002216435,0.030252053,0.217567663,0.072066748,0.187943137,0.103102904,0.143727064,0.067446731,0.207341102,0.111761918,0.302267101,0.097984056,0.189115886,0.209887256,0.194871132,0.117789557,0.104957217,0.194089348,0.008215229,0.010936194,0.006751665,0.01390232,0.006712931,0.023144902,0.029150697,0.013750172,0.003139995,0.003939152,0.00300692,0.013282788,0.00165336,0.005576415,0.012474894,0.031844989
V11,0.056697368,0.065150141,0.008077353,0.041369912,0.036424515,0.035021793,0.001307486,0.004387899,0.047671122,0.065062772,0.005692234,0.032956392,0.042936025,0.063336333,0.007027024,0.051640499,0.045481239,0.036425708,0.005727056,0.041081473,0.052126046,0.058515668,0.006262531,0.079124479,0.023935374,0.018567316,0.005187594,0.032386031,0.000772796,0.069236865,0.001106639,0.017327223,0.346500456,0.309472703,0.081013981,0.130921595,0.466145273,0.469270569,0.088123767,0.30344992,0.311014829,0.295972699,0.072550626,0.120246775,0.35801995,0.586747085,0.065379572,0.267666416,0.011878558,0.013681157,0.029765037,0.002238015,0.004837098,0.015240158,0.013362384,0.018131147,0.004311786,0.01436413,0.010919837,0.018655117,0.002393058,0.021068954,0.00497705,0.001642859,0.043214485,0.028494478,0.001322399,0.024790327,0.032940601,0.03724352,0.022196799,0.014167617,0.014638774,0.002860659,0.007065637,0.018995356,0.0364606,0.004947435,0.011665571,0.013704296,0.002791063,0.012129976,0.014187658,0.026205854,0.010646981,0.020217713,0.012412558,0.011220187,0.004507114,0.000939104,0.002538194,0.01043931,0.005797013,0.010527944,0.007868085,0.045019897
V12,0.00316766,0.002676308,0.000112168,0.00152354,0.002025504,0.001146117,0.000316787,0.001322203,0.002759018,0.00102241,0.000543964,0.002433147,0.003315253,0.001186209,0.00096694,0.009577962,0.004000967,0.002522336,0.00113,0.006366116,0.002750449,0.00058962,0.000303862,0.002484821,0.00101514,0.002925156,0.000315723,0.001548576,0.000479641,0.00250699,0.000537653,0.005005379,0.003706187,0.002201666,0.002181364,0.002835777,0.006647186,0.004154694,0.002645797,0.003642421,0.002082995,0.003719946,0.004764451,0.003325448,0.027410371,0.013033919,0.007482996,0.020514986,0.001408944,0.001402597,0.000297012,0.004568297,0.001053351,0.005171278,0.002326474,0.015214738,0.000558912,0.001257073,0.000334155,0.0024799,0.005550488,0.001688459,0.000752993,0.00720508,0.003915669,0.00197256,0.002145139,0.006565555,0.004350677,0.009714919,0.007999863,0.046991563,0.002132654,0.00229068,0.002707754,0.006364371,0.003105268,0.004641015,0.002951524,0.007734665,0.002443576,0.003979782,0.002020079,0.043933057,0.004105426,0.033712003,0.013709227,0.349359096,0.001633196,0.006973234,0.003347438,0.066227986,0.006640252,0.009332933,0.005230082,0.09367382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,